,iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
211,OWID_AFR,Africa,1990,-0.588,-7.224,6.522,44.183,7.171,247.34,3.181,80.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.049,33.68,42.189,877.81,0.0,1392.577,1221.226,1937.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.742,3.614,92.911,84.456,2421.581,3841.647,0.0,0.0,0.0,0.0,7.315,15.295,27.174,398.645,0.0,632.42,721.591,1144.746,0.0,1.739,6.102,2.718,159.041,0.0,252.306,0.0,0.0,0.0,-2.178,7.089,-4.113,184.755,293.099,0.0,0.0,0.0,-23.876,0.9,-7.361,23.469,0.0,37.232,0.0,1.336,43.936,15.093,1145.124,0.0,1816.65,3696.372,5864.002,0.0,0.0,30.956,0.086,0.531,2.244,0.0,0.0,3.561,0.0,630349685.0,2606.334,0.0,0.0,2.056,6.188,3.248,161.285,255.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,OWID_AFR,Africa,1991,1.932,23.589,7.187,51.861,3.739,138.225,-0.256,-6.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.804,32.82,-24.615,853.195,0.0,1317.994,1244.815,1922.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4015.881,-0.747,92.454,-18.088,2403.493,3712.853,0.0,0.0,0.0,0.0,0.75,15.45,2.99,401.636,0.0,620.437,773.452,1194.808,0.0,5.933,6.481,9.436,168.476,0.0,260.258,0.0,0.0,0.0,6.176,7.546,11.411,196.165,303.031,0.0,0.0,0.0,8.226,0.977,1.931,25.4,0.0,39.237,0.0,0.309,44.185,3.537,1148.661,0.0,1774.423,3834.597,5923.585,0.0,0.0,1.98,0.088,0.044,2.289,0.0,0.0,3.536,0.0,647344041.0,2599.656,0.0,0.0,5.878,6.569,9.48,170.765,263.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,OWID_AFR,Africa,1992,2.275,28.325,4.503,34.831,1.896,72.7,1.56,40.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598,32.509,5.106,858.301,0.0,1291.627,1273.139,1915.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3973.148,1.99,92.845,47.818,2451.311,3688.888,0.0,0.0,0.0,0.0,4.889,15.956,19.635,421.27,0.0,633.955,808.283,1216.355,0.0,-4.602,6.088,-7.753,160.723,0.0,241.866,0.0,0.0,0.0,-3.706,7.155,-7.269,188.896,284.263,0.0,0.0,0.0,1.575,0.977,0.4,25.8,0.0,38.826,0.0,2.009,44.381,23.077,1171.738,0.0,1763.307,3907.298,5879.95,0.0,0.0,3.671,0.09,0.084,2.373,0.0,0.0,3.571,0.0,664512030.0,2640.205,0.0,0.0,-4.491,6.177,-7.669,163.096,245.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,OWID_AFR,Africa,1993,1.874,23.858,3.108,25.124,-1.304,-50.938,0.219,5.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551,32.941,13.314,871.615,0.0,1278.274,1296.997,1902.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3880.49,0.59,93.189,14.459,2465.769,3616.19,0.0,0.0,0.0,0.0,-2.048,15.595,-8.626,412.644,0.0,605.166,833.407,1222.238,0.0,-2.036,5.951,-3.272,157.452,0.0,230.912,0.0,0.0,0.0,-4.593,6.811,-8.676,180.22,264.303,0.0,0.0,0.0,-21.888,0.762,-5.647,20.153,0.0,29.555,0.0,0.834,44.653,9.77,1181.508,0.0,1732.75,3856.36,5655.57,0.0,0.0,10.003,0.099,0.237,2.61,0.0,0.0,3.828,0.0,681869334.0,2645.987,0.0,0.0,-1.857,6.049,-3.029,160.067,234.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.008
215,OWID_AFR,Africa,1994,3.935,51.035,-5.251,-43.761,-0.201,-7.767,3.432,90.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.588,32.672,22.554,894.169,0.0,1278.398,1348.032,1927.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3912.82,3.316,93.084,81.771,2547.541,3642.229,0.0,0.0,0.0,0.0,4.649,15.779,19.184,431.828,0.0,617.387,789.646,1128.96,0.0,1.612,5.846,2.538,159.989,0.0,228.737,0.0,0.0,0.0,5.019,6.916,9.045,189.265,270.593,0.0,0.0,0.0,33.66,0.984,6.783,26.936,0.0,38.511,0.0,3.388,44.634,40.034,1221.542,0.0,1746.445,3848.592,5502.348,0.0,0.0,-10.929,0.085,-0.285,2.325,0.0,0.0,3.324,0.0,699445416.0,2736.804,0.0,0.0,1.413,5.931,2.262,162.329,232.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.001,0.009,0.015,0.0,0.021
216,OWID_AFR,Africa,1995,5.045,68.012,10.519,83.059,1.62,62.361,4.073,111.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,32.363,27.634,921.803,0.0,1285.155,1416.043,1974.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3971.009,3.944,92.969,100.479,2648.019,3691.802,0.0,0.0,0.0,0.0,6.812,16.194,29.416,461.243,0.0,643.055,872.705,1216.704,0.0,3.773,5.829,6.036,166.025,0.0,231.468,0.0,0.0,0.0,5.814,7.031,11.004,200.269,279.21,0.0,0.0,0.0,16.541,1.102,4.456,31.392,0.0,43.766,0.0,3.555,44.412,43.429,1264.971,0.0,1763.592,3910.953,5452.553,0.0,0.0,21.947,0.1,0.51,2.835,0.0,0.0,3.953,0.0,717270108.0,2848.286,0.0,0.0,4.034,5.929,6.548,168.878,235.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,0.001,0.003,0.018,0.0,0.024
217,OWID_AFR,Africa,1996,-0.308,-4.358,6.946,60.62,3.238,126.621,2.678,76.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383,31.955,12.749,934.552,0.0,1270.876,1411.685,1919.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3977.034,2.538,92.842,67.21,2715.229,3692.375,0.0,0.0,0.0,0.0,4.975,16.556,22.948,484.192,0.0,658.441,933.325,1269.206,0.0,4.262,5.919,7.077,173.101,0.0,235.396,0.0,0.0,0.0,4.524,7.158,9.06,209.33,284.663,0.0,0.0,0.0,4.194,1.118,1.317,32.708,0.0,44.479,0.0,2.491,44.331,31.512,1296.483,0.0,1763.058,4037.574,5490.601,0.0,0.0,23.454,0.12,0.665,3.5,0.0,0.0,4.76,0.0,735361109.0,2924.556,0.0,0.0,4.585,6.039,7.744,176.621,240.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.698,0.001,0.002,0.02,0.0,0.027
218,OWID_AFR,Africa,1997,6.37,89.922,11.602,108.286,2.325,93.879,1.924,56.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.543,32.149,23.77,958.321,0.0,1271.427,1501.608,1992.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3954.731,1.813,92.741,49.227,2764.456,3667.664,0.0,0.0,0.0,0.0,-2.007,15.918,-9.716,474.476,0.0,629.497,1041.611,1381.928,0.0,2.465,5.95,4.267,177.368,0.0,235.318,0.0,0.0,0.0,3.366,7.259,7.046,216.376,287.071,0.0,0.0,0.0,7.406,1.179,2.422,35.131,0.0,46.609,0.0,2.713,44.674,35.174,1331.657,0.0,1766.739,4131.454,5481.289,0.0,0.0,10.201,0.129,0.357,3.857,0.0,0.0,5.118,0.0,753737584.0,2980.83,0.0,0.0,2.618,6.08,4.624,181.246,240.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.408,0.001,0.0,0.02,0.0,0.027
219,OWID_AFR,Africa,1998,1.341,20.139,6.5,67.705,0.336,13.892,1.553,46.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.297,30.931,-22.014,936.307,0.0,1212.148,1521.747,1970.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3918.934,1.265,92.477,34.96,2799.416,3624.134,0.0,0.0,0.0,0.0,5.24,16.495,24.861,499.337,0.0,646.444,1109.316,1436.125,0.0,4.389,6.116,7.784,185.153,0.0,239.699,0.0,0.0,0.0,5.241,7.523,11.341,227.717,294.803,0.0,0.0,0.0,7.543,1.248,2.65,37.781,0.0,48.911,0.0,2.411,45.052,32.112,1363.769,0.0,1765.542,4145.346,5366.581,0.0,0.0,23.47,0.157,0.905,4.763,0.0,0.0,6.166,0.0,772437163.0,3027.13,0.0,0.0,4.795,6.274,8.691,189.936,245.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556,0.001,0.001,0.021,0.0,0.027
220,OWID_AFR,Africa,1999,-0.158,-2.409,9.682,107.409,-2.827,-117.197,3.082,93.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.116,30.941,29.173,965.481,0.0,1219.806,1519.337,1919.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3942.4,3.009,92.412,84.243,2883.659,3643.264,0.0,0.0,0.0,0.0,0.938,16.152,4.683,504.02,0.0,636.788,1216.726,1537.232,0.0,6.045,6.292,11.193,196.345,0.0,248.066,0.0,0.0,0.0,3.976,7.588,9.053,236.77,299.139,0.0,0.0,0.0,-5.617,1.143,-2.122,35.658,0.0,45.051,0.0,3.695,45.319,50.387,1414.156,0.0,1786.671,4028.149,5089.233,0.0,0.0,-1.075,0.151,-0.051,4.711,0.0,0.0,5.953,0.0,791504167.0,3120.426,0.0,0.0,5.884,6.445,11.175,201.112,254.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.526,0.002,0.034,0.055,0.0,0.069
